UTS,YS,EL,EL_Si,EL_Mg,EL_Sc,EL_Al
212.65155,128.26318,6.505181,4.94,0,0.42037308,94.63962692
212.55762,128.12173,6.495101,4.95,0,0.42137048,94.62862952
212.46364,127.980286,6.48503,4.96,0,0.42236784,94.61763216
212.36975,127.83885,6.474949,4.97,0,0.42336512,94.60663488
212.27574,127.69737,6.4648786,4.98,0,0.4243625,94.5956375
212.18196,127.556015,6.454784,4.99,0,0.42535976,94.58464024
212.08798,127.41455,6.444718,5,0,0.42635712,94.57364288
211.99405,127.27309,6.4346385,5.01,0,0.4273545,94.5626455
211.9,127.13159,6.4245763,5.02,0,0.42835182,94.55164818
211.80603,126.99013,6.414506,5.03,0,0.42934924,94.54065076
211.71222,126.848755,6.404415,5.04,0,0.43034652,94.52965348
211.61829,126.70729,6.394339,5.05,0,0.43134388,94.51865612
211.5242,126.56578,6.384275,5.06,0,0.43234122,94.50765878
211.43033,126.424385,6.374192,5.07,0,0.43333852,94.49666148
211.3364,126.28292,6.364114,5.08,0,0.4343359,94.4856641
211.24254,126.141525,6.354035,5.09,0,0.43533316,94.47466684
211.14847,126.00003,6.3439693,5.1,0,0.43633056,94.46366944
211.05453,125.85858,6.333894,5.11,0,0.43732798,94.45267202
210.96068,125.71716,6.323814,5.12,0,0.4383252,94.4416748
210.86668,125.57568,6.313741,5.13,0,0.43932256,94.43067744
210.76955,125.43173,6.3043046,5.14,0,0.44031987,94.41968013
210.65858,125.29941,6.3104053,5.15,0,0.4413172,94.4086828
210.5893,125.20946,6.3138824,5.16,0,0.44231454,94.39768546
210.51985,125.11938,6.317386,5.17,0,0.443312,94.386688
210.45096,125.029785,6.320827,5.18,0,0.4443092,94.3756908
210.38188,124.94,6.3242955,5.19,0,0.4453066,94.3646934
210.31262,124.8501,6.3277764,5.2,0,0.44630396,94.35369604
210.2432,124.76002,6.331275,5.21,0,0.44730136,94.34269864
210.17441,124.670494,6.334712,5.22,0,0.44829857,94.33170143
210.10544,124.58081,6.33817,5.23,0,0.44929597,94.32070403
210.03587,124.49063,6.3416805,5.24,0,0.45029333,94.30970667
209.96652,124.40062,6.3451686,5.25,0,0.45129076,94.29870924
209.89764,124.311035,6.348613,5.26,0,0.4522881,94.2877119
